t=2026-06-01T16:04:01+0530 lvl=info msg="no configuration paths supplied"
t=2026-06-01T16:04:01+0530 lvl=info msg="using configuration at default config path" path=/home/infaira/.config/ngrok/ngrok.yml
t=2026-06-01T16:04:01+0530 lvl=info msg="open config file" path=/home/infaira/.config/ngrok/ngrok.yml err=nil
t=2026-06-01T16:04:01+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-06-01T16:04:01+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-06-01T16:04:02+0530 lvl=info msg="update available" obj=updater
t=2026-06-01T16:04:02+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-06-01T16:04:02+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-06-01T16:04:03+0530 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3000 url=https://consuela-miscultivated-nonviscidly.ngrok-free.dev
t=2026-06-01T16:04:06+0530 lvl=info msg=start pg=/api/tunnels id=b959c2b5fdd22c9c
t=2026-06-01T16:04:06+0530 lvl=info msg=end pg=/api/tunnels id=b959c2b5fdd22c9c status=200 dur=175.389µs
t=2026-06-01T16:04:18+0530 lvl=info msg="join connections" obj=join id=b2d88228b15e l=127.0.0.1:3000 r=122.166.122.198:46980
t=2026-06-01T16:04:20+0530 lvl=info msg="join connections" obj=join id=f0a0f72d0b84 l=127.0.0.1:3000 r=122.166.122.198:46980
t=2026-06-01T16:04:21+0530 lvl=info msg="join connections" obj=join id=f8bc105e56ff l=127.0.0.1:3000 r=122.166.122.198:46980
t=2026-06-01T16:04:21+0530 lvl=info msg="join connections" obj=join id=fcfbc7d3637e l=127.0.0.1:3000 r=122.166.122.198:46980
t=2026-06-01T16:04:21+0530 lvl=info msg="join connections" obj=join id=0de81327b2da l=127.0.0.1:3000 r=122.166.122.198:46980
t=2026-06-01T16:04:23+0530 lvl=info msg="join connections" obj=join id=198b616ae7a1 l=127.0.0.1:3000 r=122.166.122.198:44312
t=2026-06-01T16:04:37+0530 lvl=info msg="join connections" obj=join id=47d33e5f478e l=127.0.0.1:3000 r=122.166.122.198:46980
t=2026-06-01T16:04:38+0530 lvl=info msg="join connections" obj=join id=6ea6ec31cf89 l=127.0.0.1:3000 r=122.166.122.198:46980
t=2026-06-01T16:04:38+0530 lvl=info msg="join connections" obj=join id=77c3d5621521 l=127.0.0.1:3000 r=122.166.122.198:46980
t=2026-06-01T16:04:43+0530 lvl=info msg="join connections" obj=join id=a23083e6837b l=127.0.0.1:3000 r=[2a03:2880:21ff:70::]:45498
t=2026-06-01T16:04:43+0530 lvl=info msg="join connections" obj=join id=dc0a5c43541e l=127.0.0.1:3000 r=[2a03:2880:22ff:44::]:64122
t=2026-06-01T16:04:47+0530 lvl=info msg="join connections" obj=join id=c408435f8274 l=127.0.0.1:3000 r=122.166.122.198:46980
t=2026-06-01T16:05:01+0530 lvl=info msg="join connections" obj=join id=acaf97ddabfa l=127.0.0.1:3000 r=[2a03:2880:2ff:5f::]:38050
t=2026-06-01T16:05:04+0530 lvl=info msg="join connections" obj=join id=2806dd582851 l=127.0.0.1:3000 r=[2a03:2880:12ff:40::]:35772
t=2026-06-01T16:05:04+0530 lvl=info msg="join connections" obj=join id=b8a52e6ff45b l=127.0.0.1:3000 r=[2a03:2880:12ff:4::]:34656
t=2026-06-01T16:05:04+0530 lvl=info msg="join connections" obj=join id=181a71fa53cc l=127.0.0.1:3000 r=[2a03:2880:12ff:7d::]:48016
t=2026-06-01T16:05:06+0530 lvl=info msg="join connections" obj=join id=17d8a5e86f68 l=127.0.0.1:3000 r=[2a03:2880:2ff:4d::]:38602
t=2026-06-01T16:05:08+0530 lvl=info msg="join connections" obj=join id=cd0706469f99 l=127.0.0.1:3000 r=[2a03:2880:2ff:4::]:47526
t=2026-06-01T16:05:08+0530 lvl=info msg="join connections" obj=join id=747bcfa96b62 l=127.0.0.1:3000 r=[2a03:2880:10ff:4e::]:51946
t=2026-06-01T16:05:08+0530 lvl=info msg="join connections" obj=join id=7538169a3102 l=127.0.0.1:3000 r=[2a03:2880:2ff:4::]:47528
t=2026-06-01T16:05:10+0530 lvl=info msg="join connections" obj=join id=185151e11625 l=127.0.0.1:3000 r=[2a03:2880:10ff:72::]:57710
t=2026-06-01T16:05:12+0530 lvl=info msg="join connections" obj=join id=574b09374b5e l=127.0.0.1:3000 r=[2a03:2880:21ff:51::]:35526
t=2026-06-01T16:05:12+0530 lvl=info msg="join connections" obj=join id=1b45b808ec2d l=127.0.0.1:3000 r=[2a03:2880:2ff:4c::]:51228
t=2026-06-01T16:05:12+0530 lvl=info msg="join connections" obj=join id=26f8cfa8b75b l=127.0.0.1:3000 r=[2a03:2880:10ff:5d::]:33060
t=2026-06-01T16:05:14+0530 lvl=info msg="join connections" obj=join id=77749dcf13c5 l=127.0.0.1:3000 r=[2a03:2880:2ff:74::]:45414
t=2026-06-01T16:05:18+0530 lvl=info msg="join connections" obj=join id=bfe078be31b4 l=127.0.0.1:3000 r=[2a03:2880:10ff:45::]:38940
t=2026-06-01T16:05:18+0530 lvl=info msg="join connections" obj=join id=bc287f6c41ee l=127.0.0.1:3000 r=[2a03:2880:10ff:5a::]:43738
t=2026-06-01T16:05:18+0530 lvl=info msg="join connections" obj=join id=e344aaf7fb15 l=127.0.0.1:3000 r=[2a03:2880:10ff:6::]:56468
t=2026-06-01T16:05:23+0530 lvl=info msg="join connections" obj=join id=e3834e1adaf3 l=127.0.0.1:3000 r=[2a03:2880:22ff:48::]:51182
t=2026-06-01T16:05:45+0530 lvl=info msg="join connections" obj=join id=9f82b4b2aa99 l=127.0.0.1:3000 r=52.15.183.38:8575
t=2026-06-01T16:05:45+0530 lvl=info msg="join connections" obj=join id=9fb30bd086bc l=127.0.0.1:3000 r=3.130.192.231:8392
t=2026-06-01T16:05:46+0530 lvl=info msg="join connections" obj=join id=5b5fe1692ff2 l=127.0.0.1:3000 r=52.15.183.38:8575
t=2026-06-01T16:05:46+0530 lvl=info msg="join connections" obj=join id=0cd6b3af90a4 l=127.0.0.1:3000 r=3.18.12.63:19398
t=2026-06-01T16:05:46+0530 lvl=info msg="join connections" obj=join id=805c91fd59f8 l=127.0.0.1:3000 r=52.15.183.38:8575
t=2026-06-01T16:05:48+0530 lvl=info msg="join connections" obj=join id=13f820d81690 l=127.0.0.1:3000 r=122.166.122.198:60726
t=2026-06-01T16:05:48+0530 lvl=info msg="join connections" obj=join id=774eff7faa8c l=127.0.0.1:3000 r=122.166.122.198:60726
t=2026-06-01T16:05:48+0530 lvl=info msg="join connections" obj=join id=5632f28f88b5 l=127.0.0.1:3000 r=122.166.122.198:60726
t=2026-06-01T16:05:49+0530 lvl=info msg="join connections" obj=join id=6e4ddeb052e5 l=127.0.0.1:3000 r=122.166.122.198:51512
t=2026-06-01T16:05:49+0530 lvl=info msg="join connections" obj=join id=e263f587959c l=127.0.0.1:3000 r=122.166.122.198:60726
t=2026-06-01T16:05:51+0530 lvl=info msg="join connections" obj=join id=a2d9c6b03add l=127.0.0.1:3000 r=122.166.122.198:60742
t=2026-06-01T16:06:36+0530 lvl=info msg="join connections" obj=join id=33aee8802dde l=127.0.0.1:3000 r=122.166.122.198:51512
t=2026-06-01T16:06:36+0530 lvl=info msg="join connections" obj=join id=a48a2b075f1c l=127.0.0.1:3000 r=122.166.122.198:60726
t=2026-06-01T16:08:29+0530 lvl=info msg="join connections" obj=join id=500aa41fd859 l=127.0.0.1:3000 r=122.166.122.198:51512
t=2026-06-01T16:08:30+0530 lvl=info msg=start pg=/api/requests/http id=e461081ed21155c1
t=2026-06-01T16:08:30+0530 lvl=info msg=end pg=/api/requests/http id=e461081ed21155c1 status=200 dur=21.271926ms
t=2026-06-01T16:08:31+0530 lvl=info msg="join connections" obj=join id=b3d4a0db8356 l=127.0.0.1:3000 r=122.166.122.198:51512
t=2026-06-01T16:08:31+0530 lvl=info msg="join connections" obj=join id=0a3a0e4fa663 l=127.0.0.1:3000 r=122.166.122.198:51512
t=2026-06-01T16:08:31+0530 lvl=info msg="join connections" obj=join id=fe20312f0c7c l=127.0.0.1:3000 r=122.166.122.198:51512
t=2026-06-01T16:08:34+0530 lvl=info msg="join connections" obj=join id=ba64ec08ca0c l=127.0.0.1:3000 r=122.166.122.198:58318
t=2026-06-01T16:09:18+0530 lvl=info msg="join connections" obj=join id=49515272de0e l=127.0.0.1:3000 r=[2a03:2880:2ff:5f::]:33744
t=2026-06-01T16:09:20+0530 lvl=info msg="join connections" obj=join id=aac49ef07833 l=127.0.0.1:3000 r=[2a03:2880:10ff:59::]:41286
t=2026-06-01T16:14:07+0530 lvl=info msg="join connections" obj=join id=ffebd05c5156 l=127.0.0.1:3000 r=122.166.122.198:51512
t=2026-06-01T16:14:07+0530 lvl=info msg="join connections" obj=join id=4aba724d3935 l=127.0.0.1:3000 r=122.166.122.198:51512
t=2026-06-01T16:14:15+0530 lvl=info msg="join connections" obj=join id=d26ea0349d6e l=127.0.0.1:3000 r=[2a03:2880:21ff::]:55494
t=2026-06-01T16:14:15+0530 lvl=info msg="join connections" obj=join id=9db3e27f4649 l=127.0.0.1:3000 r=[2a03:2880:22ff:71::]:33624
t=2026-06-01T16:14:15+0530 lvl=info msg="join connections" obj=join id=f791764a593d l=127.0.0.1:3000 r=[2a03:2880:21ff:9::]:42964
t=2026-06-01T16:14:18+0530 lvl=info msg="join connections" obj=join id=4294767f4771 l=127.0.0.1:3000 r=[2a03:2880:22ff:49::]:54868
t=2026-06-01T16:14:20+0530 lvl=info msg="join connections" obj=join id=b4d4434176ab l=127.0.0.1:3000 r=[2a03:2880:2ff:73::]:45326
